	FWL	TM:TDM	AM:TDM	FEA	WL	AR	Host	Iridescence	Eyespots	Rings	Camouflage	Disruptive
Archaeoprepona_amphimachus	44.2625	0.5135	0.2394	3.2202	1.6078	4.9642	-4.9036	1	0	1	0	1
Archaeoprepona_chalciope	48.1138	0.5192	0.2308	2.8672	1.1333	5.1483	-4.2274	1	0	1	0	1
Archaeoprepona_demophon	52.1650	0.3323	0.4146	3.5614	1.4667	4.9666	19.4194	1	0	1	0	1
Archaeoprepona_demophoon	51.3100	0.3816	0.3852	3.0230	1.3564	5.1503	15.8966	1	0	1	0	1
Blepolenis_batea	45.3280	0.4670	0.0170	2.4340	0.8290	3.8610	-2.0535	0	1	1	1	0
Caligo_martia	58.8688	0.3556	0.1967	4.1437	0.6920	4.0958	-2.9406	0	1	0	1	0
Carminda_griseldis	19.9550	0.3636	0.2727	0.8630	0.3527	5.2114	-5.7908	0	1	0	1	0
Carminda_paeon	18.6192	0.5556	0.3333	0.6538	0.2647	4.1612	-5.7908	0	1	0	1	0
Catoblepia_amphirhoe	46.5050	0.4712	0.2452	3.4094	1.0647	4.5184	-4.2645	0	1	1	1	0
Diaethria_candrena	20.7267	0.5172	0.2414	0.8339	0.7533	4.5549	-0.6924	1	0	1	0	1
Diaethria_clymena	22.8600	0.4412	0.2647	1.2580	0.7330	4.5981	-0.4901	1	0	1	0	1
Epiphile_hubneri	26.1883	0.5366	0.2683	1.0594	0.6491	4.4319	-4.4669	0	0	1	1	0
Epiphile_orea	25.3317	0.5263	0.2632	1.2903	0.7201	4.9636	-0.9319	1	0	1	1	0
Eryphanis_reevesii	51.1275	0.3726	0.2925	2.7630	0.8481	4.2684	-1.8191	0	1	0	1	0
Eteona_tisiphone	27.9300	0.3158	0.5526	0.6835	0.6105	5.1151	-4.4669	0	0	1	0	0
Euptychoides_castrensis	17.9292	0.6000	0.3000	0.7763	0.3040	3.9893	-5.7908	0	1	0	1	0
Forsterinaria_necys	22.2089	0.4375	0.3750	0.8048	0.3638	4.5769	-5.7908	0	0	0	1	0
Forsterinaria_pronophila	21.1067	0.3846	0.2308	1.0789	0.3349	4.6845	-5.7908	0	0	0	1	0
Forsterinaria_quantius	24.7379	0.4118	0.2941	0.9884	0.2628	3.8616	-3.1430	0	0	0	1	0
Hamadryas_epinome	36.2400	0.4507	0.2817	0.9768	0.6204	4.6839	0.1712	0	1	0	0	1
Hermeuptychia_sp	17.3750	0.4000	0.2000	0.4933	0.3655	4.5035	22.6171	0	1	0	1	0
Memphis_hirta	24.5992	0.4186	0.3023	1.1443	0.8434	4.8442	-5.7908	1	0	0	1	0
Memphis_moruus	31.9517	0.4805	0.2208	1.7771	0.8794	4.7590	16.3384	1	0	0	1	0
Morpho_epistrophus	66.0125	0.3504	0.2190	2.4383	0.3934	5.1075	13.6362	0	1	0	0	0
Morpho_portis	43.8875	0.3889	0.2222	0.9446	0.2304	5.0304	-2.9035	1	1	0	0	1
Narope_cyllastros	29.5075	0.4222	0.3778	1.2005	0.5240	4.1384	-5.7908	0	0	0	1	0
Opoptera_fruhstorferi	39.3800	0.3462	0.3205	1.9493	0.5013	4.0677	-4.4669	0	1	0	1	0
Opsiphanes_quiteria	52.3275	0.5990	0.1671	8.1585	1.6208	4.6565	20.1581	0	1	1	1	0
Paryphthimoides_grimon	20.5038	0.5000	0.2000	0.7691	0.2279	3.9113	-5.7908	0	0	0	1	0
Praepedaliodes_phanias	28.8010	0.5000	0.3000	1.1035	0.3101	5.2490	-2.2558	0	0	0	1	0
Prepona_pylene	49.5013	0.4597	0.2085	3.1650	1.0304	4.8841	-5.7908	1	1	1	0	1
Smyrna_blomfildia	40.9500	0.0468	0.3885	2.9300	1.8090	4.4539	-2.6926	0	1	1	0	1
Taygetis_ypthima	34.2944	0.3793	0.2586	1.2262	0.5026	4.1601	-3.5797	0	1	0	1	0
Temenis_laothoe	24.3783	0.4286	0.2857	0.8808	0.7015	4.8616	-0.0311	0	0	1	1	0
Zaretis_strigosus	32.4931	0.5600	0.2600	0.6626	0.6294	5.4249	-5.7908	0	0	0	1	0
