Code	Subfamily	Tribe	Genus	Species	Sex	Abundance	SU	Strata	Trap	Date	Month
C2NF4_42675	Charaxinae	Preponini	Archaeoprepona	Archaeoprepona_chalciope	NA	1	NF4	Canopy	Can2	11/01/16	November
C2NF4_42675	Charaxinae	Anaeini	Zaretis	Zaretis_strigosus	M	1	NF4	Canopy	Can2	11/01/16	November
U2NF5_42675	Satyrinae	Satyrini	Taygetis	Taygetis_ypthima	F	1	NF5	Understory	Und2	11/01/16	November
C3NF5_42675	Satyrinae	Satyrini	Carminda	Carminda_paeon	M	1	NF5	Canopy	Can3	11/01/16	November
U1NF6_42675	Satyrinae	Satyrini	Forsterinaria	Forsterinaria_quantius	M	1	NF6	Understory	Und1	11/01/16	November
U1NF6_42675	Satyrinae	Satyrini	Forsterinaria	Forsterinaria_quantius	M	1	NF6	Understory	Und1	11/01/16	November
U1NF6_42675	Satyrinae	Satyrini	Forsterinaria	Forsterinaria_necys	F	1	NF6	Understory	Und1	11/01/16	November
U1NF6_42675	Charaxinae	Preponini	Archaeoprepona	Archaeoprepona_chalciope	NA	1	NF6	Understory	Und1	11/01/16	November
C1NF6_42675	Charaxinae	Preponini	Archaeoprepona	Archaeoprepona_chalciope	M	1	NF6	Canopy	Can1	11/01/16	November
C1NF6_42675	Charaxinae	Preponini	Archaeoprepona	Archaeoprepona_amphimachus	F	1	NF6	Canopy	Can1	11/01/16	November
U3NF6_42675	Satyrinae	Satyrini	Taygetis	Taygetis_ypthima	M	1	NF6	Understory	Und3	11/01/16	November
U3NF6_42675	Satyrinae	Satyrini	Taygetis	Taygetis_ypthima	M	1	NF6	Understory	Und3	11/01/16	November
U3NF6_42675	Satyrinae	Satyrini	Taygetis	Taygetis_ypthima	F	1	NF6	Understory	Und3	11/01/16	November
U3NF6_42675	Satyrinae	Satyrini	Forsterinaria	Forsterinaria_necys	M	1	NF6	Understory	Und3	11/01/16	November
U4NF6_42675	Satyrinae	Satyrini	Forsterinaria	Forsterinaria_necys	M	1	NF6	Understory	Und4	11/01/16	November
U4NF6_42675	Satyrinae	Satyrini	Forsterinaria	Forsterinaria_quantius	F	1	NF6	Understory	Und4	11/01/16	November
U5NF6_42675	Satyrinae	Satyrini	Forsterinaria	Forsterinaria_quantius	F	1	NF6	Understory	Und5	11/01/16	November
C2NF2_42676	Charaxinae	Preponini	Archaeoprepona	Archaeoprepona_chalciope	M	1	NF2	Canopy	Can2	11/02/16	November
C4NF2_42676	Charaxinae	Anaeini	Memphis	Memphis_hirta	F	1	NF2	Canopy	Can4	11/02/16	November
U2NF3_42676	Satyrinae	Satyrini	Forsterinaria	Forsterinaria_quantius	M	1	NF3	Understory	Und2	11/02/16	November
U2NF3_42676	Satyrinae	Satyrini	Forsterinaria	Forsterinaria_quantius	M	1	NF3	Understory	Und2	11/02/16	November
U2NF3_42676	Satyrinae	Satyrini	Forsterinaria	Forsterinaria_quantius	M	1	NF3	Understory	Und2	11/02/16	November
U2NF3_42676	Satyrinae	Satyrini	Forsterinaria	Forsterinaria_necys	F	1	NF3	Understory	Und2	11/02/16	November
U5NF3_42676	Satyrinae	Satyrini	Taygetis	Taygetis_ypthima	NA	1	NF3	Understory	Und5	11/02/16	November
U2NF3_42676	Satyrinae	Satyrini	Taygetis	Taygetis_ypthima	M	1	NF3	Understory	Und2	11/02/16	November
U3NF4_42680	Charaxinae	Preponini	Archaeoprepona	Archaeoprepona_chalciope	M	1	NF4	Understory	Und3	11/06/16	November
U4NF4_42680	Charaxinae	Preponini	Archaeoprepona	Archaeoprepona_chalciope	M	1	NF4	Understory	Und4	11/06/16	November
C4NF4_42680	Satyrinae	Satyrini	Carminda	Carminda_paeon	F	1	NF4	Canopy	Can4	11/06/16	November
C2NF5_42677	Satyrinae	Satyrini	Carminda	Carminda_paeon	M	1	NF5	Canopy	Can2	11/03/16	November
U1NF6_42677	Satyrinae	Satyrini	Taygetis	Taygetis_ypthima	M	1	NF6	Understory	Und1	11/03/16	November
U3NF6_42677	Satyrinae	Satyrini	Forsterinaria	Forsterinaria_necys	F	1	NF6	Understory	Und3	11/03/16	November
C4NF6_42677	Satyrinae	Satyrini	Carminda	Carminda_paeon	F	1	NF6	Canopy	Can4	11/03/16	November
C4NF2_42678	Satyrinae	Satyrini	Carminda	Carminda_paeon	F	1	NF2	Canopy	Can4	11/04/16	November
U3NF3_42678	Satyrinae	Satyrini	Forsterinaria	Forsterinaria_necys	F	1	NF3	Understory	Und3	11/04/16	November
C3NF3_42678	Satyrinae	Satyrini	Paryphthimoides	Paryphthimoides_grimon	M	1	NF3	Canopy	Can3	11/04/16	November
U4NF3_42678	Charaxinae	Preponini	Archaeoprepona	Archaeoprepona_chalciope	M	1	NF3	Understory	Und4	11/04/16	November
C4NF3_42678	Satyrinae	Satyrini	Carminda	Carminda_paeon	F	1	NF3	Canopy	Can4	11/04/16	November
U5NF3_42678	Satyrinae	Satyrini	Taygetis	Taygetis_ypthima	M	1	NF3	Understory	Und5	11/04/16	November
C2NF4_42679	Charaxinae	Anaeini	Memphis	Memphis_moruus	F	1	NF4	Canopy	Can2	11/05/16	November
C2NF4_42679	Charaxinae	Anaeini	Memphis	Memphis_moruus	M	1	NF4	Canopy	Can2	11/05/16	November
U3NF4_42679	Charaxinae	Preponini	Archaeoprepona	Archaeoprepona_chalciope	F	1	NF4	Understory	Und3	11/05/16	November
C3NF4_42679	Charaxinae	Preponini	Archaeoprepona	Archaeoprepona_demophon	F	1	NF4	Canopy	Can3	11/05/16	November
C4NF4_42679	Charaxinae	Anaeini	Memphis	Memphis_hirta	M	1	NF4	Canopy	Can4	11/05/16	November
U1NF5_42679	Satyrinae	Satyrini	Carminda	Carminda_paeon	M	1	NF5	Understory	Und1	11/05/16	November
U1NF6_42679	Satyrinae	Satyrini	Forsterinaria	Forsterinaria_necys	M	1	NF6	Understory	Und1	11/05/16	November
U2NF6_42679	Satyrinae	Satyrini	Forsterinaria	Forsterinaria_pronophila	F	1	NF6	Understory	Und2	11/05/16	November
U2NF6_42679	Satyrinae	Satyrini	Forsterinaria	Forsterinaria_quantius	F	1	NF6	Understory	Und2	11/05/16	November
U2NF6_42679	Satyrinae	Satyrini	Forsterinaria	Forsterinaria_necys	F	1	NF6	Understory	Und2	11/05/16	November
U2NF6_42679	Satyrinae	Satyrini	Taygetis	Taygetis_ypthima	NA	1	NF6	Understory	Und2	11/05/16	November
U3NF6_42679	Satyrinae	Satyrini	Forsterinaria	Forsterinaria_necys	F	1	NF6	Understory	Und3	11/05/16	November
U3NF6_42679	Satyrinae	Satyrini	Forsterinaria	Forsterinaria_necys	F	1	NF6	Understory	Und3	11/05/16	November
U3NF6_42679	Satyrinae	Satyrini	Taygetis	Taygetis_ypthima	F	1	NF6	Understory	Und3	11/05/16	November
U4NF6_42679	Satyrinae	Satyrini	Forsterinaria	Forsterinaria_quantius	M	1	NF6	Understory	Und4	11/05/16	November
C4NF6_42679	Satyrinae	Satyrini	Forsterinaria	Forsterinaria_quantius	F	1	NF6	Canopy	Can4	11/05/16	November
C5NF6_42679	Charaxinae	Anaeini	Zaretis	Zaretis_strigosus	M	1	NF6	Canopy	Can5	11/05/16	November
C5NF6_42679	Charaxinae	Anaeini	Memphis	Memphis_moruus	M	1	NF6	Canopy	Can5	11/05/16	November
C1NF1_42680	Charaxinae	Preponini	Archaeoprepona	Archaeoprepona_chalciope	M	1	NF1	Canopy	Can1	11/06/16	November
C1NF1_42680	Charaxinae	Anaeini	Memphis	Memphis_hirta	F	1	NF1	Canopy	Can1	11/06/16	November
C1NF1_42680	Satyrinae	Satyrini	Forsterinaria	Forsterinaria_necys	M	1	NF1	Canopy	Can1	11/06/16	November
C1NF1_42680	Satyrinae	Satyrini	Carminda	Carminda_paeon	M	1	NF1	Canopy	Can1	11/06/16	November
U2NF1_42680	Satyrinae	Satyrini	Carminda	Carminda_paeon	F	1	NF1	Understory	Und2	11/06/16	November
U2NF1_42680	Satyrinae	Satyrini	Carminda	Carminda_paeon	F	1	NF1	Understory	Und2	11/06/16	November
C3NF1_42680	Biblidinae	Epiphilini	Epiphile	Epiphile_hubneri	M	1	NF1	Canopy	Can3	11/06/16	November
U4NF1_42680	Satyrinae	Satyrini	Carminda	Carminda_paeon	F	1	NF1	Understory	Und4	11/06/16	November
C4NF1_42680	Satyrinae	Satyrini	Carminda	Carminda_paeon	F	1	NF1	Canopy	Can4	11/06/16	November
C3NF2_42680	Charaxinae	Anaeini	Memphis	Memphis_hirta	F	1	NF2	Canopy	Can3	11/06/16	November
C3NF2_42680	Satyrinae	Satyrini	Carminda	Carminda_paeon	M	1	NF2	Canopy	Can3	11/06/16	November
C4NF2_42680	Charaxinae	Anaeini	Memphis	Memphis_hirta	F	1	NF2	Canopy	Can4	11/06/16	November
C4NF2_42680	Charaxinae	Anaeini	Memphis	Memphis_hirta	F	1	NF2	Canopy	Can4	11/06/16	November
C4NF2_42680	Charaxinae	Anaeini	Memphis	Memphis_moruus	M	1	NF2	Canopy	Can4	11/06/16	November
U1NF3_42680	Satyrinae	Brassolini	Eryphanis	Eryphanis_reevesii	F	1	NF3	Understory	Und1	11/06/16	November
U2NF3_42680	Satyrinae	Satyrini	Forsterinaria	Forsterinaria_quantius	M	1	NF3	Understory	Und2	11/06/16	November
U2NF3_42680	Satyrinae	Satyrini	Forsterinaria	Forsterinaria_necys	M	1	NF3	Understory	Und2	11/06/16	November
U2NF3_42680	Charaxinae	Preponini	Archaeoprepona	Archaeoprepona_chalciope	M	1	NF3	Understory	Und2	11/06/16	November
U2NF3_42680	Satyrinae	Satyrini	Taygetis	Taygetis_ypthima	NA	1	NF3	Understory	Und2	11/06/16	November
C4NF3_42680	Satyrinae	Satyrini	Forsterinaria	Forsterinaria_pronophila	F	1	NF3	Canopy	Can4	11/06/16	November
C5NF3_42680	Charaxinae	Preponini	Archaeoprepona	Archaeoprepona_chalciope	F	1	NF3	Canopy	Can5	11/06/16	November
C5NF4_42680	Charaxinae	Anaeini	Zaretis	Zaretis_strigosus	M	1	NF4	Canopy	Can5	11/06/16	November
C3NF5_42680	Satyrinae	Satyrini	Carminda	Carminda_paeon	M	1	NF5	Canopy	Can3	11/06/16	November
U4NF5_42680	Charaxinae	Preponini	Archaeoprepona	Archaeoprepona_chalciope	M	1	NF5	Understory	Und4	11/06/16	November
C4NF5_42680	Charaxinae	Anaeini	Zaretis	Zaretis_strigosus	M	1	NF5	Canopy	Can4	11/06/16	November
U1NF6_42680	Satyrinae	Satyrini	Forsterinaria	Forsterinaria_quantius	M	1	NF6	Understory	Und1	11/06/16	November
U1NF6_42680	Satyrinae	Satyrini	Forsterinaria	Forsterinaria_necys	M	1	NF6	Understory	Und1	11/06/16	November
U1NF6_42680	Satyrinae	Satyrini	Forsterinaria	Forsterinaria_pronophila	F	1	NF6	Understory	Und1	11/06/16	November
U2NF6_42680	Charaxinae	Preponini	Archaeoprepona	Archaeoprepona_chalciope	F	1	NF6	Understory	Und2	11/06/16	November
U2NF6_42680	Satyrinae	Satyrini	Forsterinaria	Forsterinaria_pronophila	NA	1	NF6	Understory	Und2	11/06/16	November
U3NF6_42680	Satyrinae	Satyrini	Taygetis	Taygetis_ypthima	NA	1	NF6	Understory	Und3	11/06/16	November
U3NF6_42680	Satyrinae	Satyrini	Taygetis	Taygetis_ypthima	NA	1	NF6	Understory	Und3	11/06/16	November
U4NF6_42680	Satyrinae	Satyrini	Forsterinaria	Forsterinaria_quantius	F	1	NF6	Understory	Und4	11/06/16	November
C4NF6_42680	Satyrinae	Satyrini	Carminda	Carminda_paeon	F	1	NF6	Canopy	Can4	11/06/16	November
U1NF1_42681	Satyrinae	Satyrini	Forsterinaria	Forsterinaria_quantius	M	1	NF1	Understory	Und1	11/07/16	November
U5NF1_42681	Biblidinae	Ageroniini	Hamadryas	Hamadryas_epinome	M	1	NF1	Understory	Und5	11/07/16	November
C2NF2_42681	Charaxinae	Anaeini	Memphis	Memphis_hirta	F	1	NF2	Canopy	Can2	11/07/16	November
C2NF2_42681	Charaxinae	Anaeini	Memphis	Memphis_hirta	NA	1	NF2	Canopy	Can2	11/07/16	November
