"Code" "Subfamily" "Tribe" "Genus" "Species" "Abundance" "Strata" "Date" "SU" "Trap" "Temperature" "Samp.day" "Month" "Sites"
"1" "C1NF1_42680" "Charaxinae" "Preponini" "Archaeoprepona" "Archaeoprepona_chalciope" 1 "Canopy" 2016-11-06 "NF1" "Can1" 15.1 3 "November" "C1NF1N"
"2" "C1NF1_42680" "Charaxinae" "Anaeini" "Memphis" "Memphis_hirta" 1 "Canopy" 2016-11-06 "NF1" "Can1" 15.1 3 "November" "C1NF1N"
"3" "C1NF1_42680" "Satyrinae" "Satyrini" "Forsterinaria" "Forsterinaria_necys" 1 "Canopy" 2016-11-06 "NF1" "Can1" 15.1 3 "November" "C1NF1N"
"4" "C1NF1_42680" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-11-06 "NF1" "Can1" 15.1 3 "November" "C1NF1N"
"5" "C1NF1_42715" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-11 "NF1" "Can1" NA 2 "December" "C1NF1D"
"6" "C1NF1_42715" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-11 "NF1" "Can1" NA 2 "December" "C1NF1D"
"7" "C1NF1_42715" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-11 "NF1" "Can1" NA 2 "December" "C1NF1D"
"8" "C1NF1_42717" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-13 "NF1" "Can1" 20.3 3 "December" "C1NF1D"
"9" "C1NF1_42719" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-15 "NF1" "Can1" 14.2 4 "December" "C1NF1D"
"10" "C1NF1_42721" "Satyrinae" "Satyrini" "Carminda" "Carminda_paeon" 1 "Canopy" 2016-12-17 "NF1" "Can1" 15.4 5 "December" "C1NF1D"
